id,title,organization,date,type,topic,key_insight,url
S21,DocuSign Brand Guidelines – Logo,DocuSign,2026,Brand source,"Brand strategy, visual identity",The Nexus mark represents convergence/agreement and the brand frames itself beyond a signature-only category.,https://brand.docusign.com/logo
S22,DocuSign Next Brand Chapter,DocuSign,2024/2026,Brand strategy,Category expansion,The 2024 rebrand explicitly moved away from signature-centric visual equity toward Intelligent Agreement Management and “Dynamic Connection.”,https://www.docusign.com/en-au/blog/next-brand-chapter
S23,Adobe digital signatures overview,Adobe,2025,Competitor,Digital signatures,"Adobe emphasizes document authenticity, integrity, certificates, tamper evidence, standards and validation.",https://helpx.adobe.com/acrobat/desktop/e-sign-documents/learn-about-signatures/digital-sign-overview.html
S24,Adobe Trust Services,Adobe,2026,Competitor trust,Trust services,"Adobe states its trust-services ecosystem supports authenticity, integrity, confidentiality and privacy and runs at massive document scale.",https://helpx.adobe.com/ae_en/acrobat/kb/trust-services.html
S25,Adobe eIDAS,Adobe,2026,Competitor/regulation,Qualified signatures,Adobe positions around broad support for EU trust-service providers and signature levels under eIDAS.,https://www.adobe.com/acrobat/business/compliance/eidas.html
S26,Dropbox Sign,Dropbox,2026,Competitor,"eSignature, ease","Dropbox Sign leans on simplicity, speed, templates, integrations, audit trails, and user-friendly signing.",https://sign.dropbox.com/products/dropbox-sign
S27,Dropbox Brand Guidelines – Color,Dropbox,2026,Brand source,Visual identity,Dropbox intentionally uses a more diverse/unexpected color system rather than relying only on its core blue.,https://brand.dropbox.com/color
S28,PandaDoc Custom Branding,PandaDoc,2026,Competitor/product,Brandable documents,"PandaDoc emphasizes document/contract creation, workflows and strong brand customization.",https://www.pandadoc.com/features/create/custom-branding/
S29,OneSpan Digital Agreements,OneSpan,2026,Competitor,"eSignature, IDV","OneSpan combines eSignature, ID verification/authentication and all three major e-signature levels; strong regulated-sector orientation.",https://www.onespan.com/products/digital-agreements
S30,OneSpan Brand Identity – Logo,OneSpan,2021,Brand source,Visual identity,OneSpan’s guidelines strongly constrain its purple/white logo system; the visual identity reads security-led and enterprise.,https://www.onespan.com/sites/default/files/2021-04/Onespan-Brand-Identity-Logo-Usage.pdf
S31,Entrust Electronic and Digital Signing,Entrust,2026,Competitor,"Signing, identity, sealing","Entrust spans signing, document sealing, ID verification, PKI and HSM infrastructure; particularly strong in enterprise/government infrastructure.",https://www.entrust.com/products/electronic-digital-signing
S32,Entrust Digital Signing Infrastructure,Entrust,2026,Competitor,TSP/PKI infrastructure,Entrust explicitly sells infrastructure of trust to governments and TSPs and supports country-scale signing services.,https://www.entrust.com/products/digital-signing-infrastructure
S33,Entrust brand guidelines,Entrust,2022,Brand source,Visual identity,Entrust’s logo system combines a recognizable geometric mark with purple/gray institutional styling and a security-forward tagline.,https://www.entrust.com/sites/default/files/documentation/partner-page-pdfs/entrust-logo-guidelines.pdf
S34,GlobalSign logo guidelines,GlobalSign,2022/2026,Brand source,Visual identity,"GlobalSign uses a distinctive “eye” mark and saturated blue, a familiar trust/PKI visual code.",https://www.globalsign.com/en/repository/globalsign-logo-guidelines.pdf
S35,Universign home,Universign,2025/2026,Competitor,eSignature/TSP,"Universign combines ease of use with qualified-TSP credibility and offers signatures, seals and timestamps.",https://www.universign.com/en/
S36,Universign TSP,Universign,2025/2026,Competitor trust,TSP,Universign makes regulatory compliance and trust-provider status part of core brand identity rather than a hidden technical layer.,https://www.universign.com/en/trust-service-provider/
S37,Docaposte electronic signature,Docaposte,2026,Competitor,Sovereign trust,"Docaposte emphasizes sovereignty, eIDAS compliance, identity verification and evidence-preserving document workflows.",https://www.docaposte.com/solutions/signature-electronique
S38,Codegic Khatim product line,Codegic,2026,Naming collision,Name / competitive risk,"A technology vendor already markets KhatimDoc, Khatim Sign Server, PKI/TSA/verification servers and related Khatim trust products. This is the single largest naming risk discovered.",https://www.codegic.com/products/
S39,Khatim Sign Server,Codegic,2026,Naming collision,Digital signing,"Existing “Khatim” software directly overlaps Khatim’s intended category: enterprise digital signing, PKI, HSM integration, verification and long-term validity.",https://www.codegic.com/khatim-sign-server/
S40,PKI Consortium capabilities matrix,PKI Consortium,2026,Industry registry,"Khatim collision, PKI","The PKI Consortium currently lists Codegic products named Khatim PKI Server, Khatim Sign Server and Khatim Timestamp Server.",https://pkic.org/wg/pqc/pqccm/
S41,Khatim Verification Server,Codegic,2026,Naming collision,Verification,"Existing Khatim Verification Server is explicitly aimed at signature validation, trust lists, timestamps and long-term validation.",https://www.codegic.com/khatim-digital-signature-verification-server/
S42,Khatim linguistic entry,Arabic Language Academy of Cairo,2026,Linguistic source,Arabic semantics,خاتم / الخاتَم is linked to ختم and can denote the ring/seal; the root also carries the sense of sealing/impressing and completion/end.,https://www.arabicacademy.gov.eg/ar/%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D9%84%D8%A8%D8%AD%D8%AB/%D9%85%D8%B9%D8%AC%D9%85/dic-19/%D8%AE%D8%A7%D8%AA%D9%85-%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%D8%A7%D9%84%D9%81%D8%B5%D8%AD%D9%89
S43,Arabic root khatama,Arabic Language Academy of Cairo,2026,Linguistic source,Seal/completion,The verb ختم includes marking/impressing with a seal and completing/bringing something to its end.,https://www.arabicacademy.gov.eg/ar/%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D9%84%D8%A8%D8%AD%D8%AB/%D8%AE%D9%8E%D8%AA%D9%8E%D9%85%D9%8E?exact_search=true
S44,Seal Ring with the Name of Hajji Muhammad ibn Mahmud,The Metropolitan Museum of Art,16th c. object,Museum collection,Historical seal symbolism,Signet rings were used to stamp an owner’s name; the seal could also have symbolic/talismanic dimensions.,https://www.metmuseum.org/art/collection/search/450413
S45,Islamic Seals Database,Chester Beatty / Princeton resource,2011-origin / current resource,Cultural archive,Islamic seal history,Islamic manuscript seals preserve ownership/provenance information and form a historical evidence layer; seals are not merely decorative motifs.,https://marbas.princeton.edu/resource-links/chester-beatty-islamic-seals-database
S46,Chester Beatty annual report – Islamic Seals Database,Chester Beatty,2011,Cultural archive,Seal systems,The database was built to catalogue seal impressions found in Islamic manuscripts and support scholarly identification.,https://chesterbeatty.ie/assets/uploads/2018/11/2011-Chester-Beatty-Annual-Report.pdf
S47,Cybersecurity branding – clichés and whitespace,Hello Design,2026,Branding source,Visual landscape,"Agency analysis identifies dark/navy/black, blue gradients, hex grids, shields, locks and generic technical typography as common cybersecurity defaults. Treat as secondary strategic evidence, not market measurement.",https://www.hellodesign.co/resources/how-to-brand-a-cybersecurity-startup-a-complete-guide
S48,Why cybersecurity brands look the same,Hello Design,2026,Branding source,Visual sameness,"Reinforces the repeated combination of dark palettes, blue gradients, shields/locks, and “protect/secure/threat” language. Secondary source.",https://www.hellodesign.co/resources/why-cybersecurity-companies-look-the-same
S49,Aitive – security brand that refuses to look like one,Antigravity,2024/2026,Brand case study,Differentiation,Case study demonstrates strategic value of removing padlock/shield/cyber-cliché assets from a security brand while retaining enterprise credibility. Secondary source.,https://www.antigravity.marketing/work/aitive
S50,Arcserve brand case study,Trevor Gessay,2026,Brand case study,Whitespace,Case study shows how a security identity can avoid blue/teal/shield clichés and use expressive supporting assets around a restrained logo. Secondary source.,https://www.trevorgessay.com/work/arcserve
